,Julian Day,Julian Day QC,Latitude,Longitude,Position QC,Pressure,Pressure QC,Temperature Adjusted,Temperature Adjusted QC,Temperature,Temperature QC,Salinity Adjusted,Salinity Adjusted QC,Salinity,Salinity QC,Oxygen,Oxygen QC,Nitrate,Nitrate QC,pH,pH QC,Yearday
104,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,211.8000030517578,1.0,17.298716019657828,1.0,17.360000610351562,1.0,35.74411738766825,1.0,35.57600021362305,1.0,204.59750366210938,1.0,3.614029884338379,1.0,8.017498016357422,1.0,130.32278936128296
109,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,221.8000030517578,1.0,17.162405832341314,1.0,17.225000381469727,1.0,35.73809691912768,1.0,35.56999969482422,1.0,204.67794799804688,1.0,3.8665571212768555,1.0,8.014811515808105,1.0,130.32278936128296
114,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,231.8000030517578,1.0,17.048880719523297,1.0,17.113000869750977,1.0,35.73909032013908,1.0,35.57099914550781,1.0,209.04251098632812,1.0,3.687122344970703,1.0,8.016369819641113,1.0,130.32278936128296
119,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,241.8000030517578,1.0,16.995872555663954,1.0,17.062000274658203,1.0,35.75414978391843,1.0,35.58599853515625,1.0,213.2139434814453,1.0,3.187180280685425,1.0,8.02386474609375,1.0,130.32278936128296
124,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,251.8000030517578,1.0,16.93037066502269,1.0,16.99799919128418,1.0,35.75215749887126,1.0,35.58399963378906,1.0,214.63978576660156,1.0,3.192467212677002,1.0,8.024507522583008,1.0,130.32278936128296
129,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,261.79998779296875,1.0,16.912537130064575,1.0,16.98200035095215,1.0,35.75918648089983,1.0,35.590999603271484,1.0,215.97471618652344,1.0,2.8833274841308594,1.0,8.02779483795166,1.0,130.32278936128296
133,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,269.79998779296875,1.0,16.863435718571537,1.0,16.93400001525879,1.0,35.75414179819669,1.0,35.58599853515625,1.0,214.928466796875,1.0,3.0482444763183594,1.0,8.0257568359375,1.0,130.32278936128296
138,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,279.79998779296875,1.0,16.790192305027663,1.0,16.86199951171875,1.0,35.74412300050748,1.0,35.57600021362305,1.0,212.91285705566406,1.0,3.2645485401153564,1.0,8.022558212280273,1.0,130.32278936128296
144,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,291.79998779296875,1.0,16.631058251066683,1.0,16.70400047302246,1.0,35.72502141412562,1.0,35.55699920654297,1.0,208.5527801513672,1.0,3.9451675415039062,1.0,8.01555061340332,1.0,130.32278936128296
149,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,301.79998779296875,1.0,16.440369019994836,1.0,16.513999938964844,1.0,35.70494173061414,1.0,35.5369987487793,1.0,206.08204650878906,1.0,4.5568461418151855,1.0,8.008977890014648,1.0,130.32278936128296
